"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"94",94,94,"N",700,0,0,NA,NA,NA,1.20650823268184,"en",105,111,91,NA,2,103,17,"EO",NA,0.0189642527453058,"EO","Ineligible","Not Hispanic","en","EO",2
"95",95,95,"N",800,0,0,NA,NA,NA,1.17993575383535,"en",108,102,104,NA,1,93,17,"EO",NA,0.435482256280522,"EO","Ineligible","Not Hispanic","en","EO",2
"96",96,96,"N",700,0,0,NA,NA,NA,1.43719786679679,"en",NA,NA,NA,NA,1,96,17,"EO",NA,0.55981722452745,"EO","Ineligible","Not Hispanic","en","EO",2
"97",97,97,"N",700,0,0,NA,NA,NA,1.99514537652324,"en",114,120,117,NA,1,99,17,"EO",NA,0.984837589539388,"EO","Ineligible","Not Hispanic","en","EO",2
"98",98,98,"N",700,0,0,NA,NA,NA,2.9053298641659,"en",89,111,94,NA,1,97,17,"EO",NA,1.98364017365839,"EO","Ineligible","Not Hispanic","en","EO",2
"99",99,99,"N",800,0,0,NA,NA,NA,-1.19885518863619,"en",60,58,74,NA,1,102,17,"EO",NA,-2.34209012033455,"EO","Ineligible","Not Hispanic","en","EO",2
"100",100,100,"N",700,0,0,NA,NA,NA,0.505114262178716,"en",121,126,104,NA,1,91,17,"EO",NA,-0.150721138899771,"EO","Ineligible","Not Hispanic","en","EO",2
"101",101,101,"N",700,2,0,NA,NA,NA,-1.95281879558502,"en",119,116,90,NA,1,101,17,"EO",NA,-3.05174467904521,"EO","Eligible","Not Hispanic","en","EO",2
"102",102,102,"N",700,0,0,NA,NA,NA,2.59648891286761,"en",115,121,111,NA,1,89,17,"EO",NA,2.02927160826546,"EO","Ineligible","Not Hispanic","en","EO",2
"103",103,103,"N",700,0,0,NA,NA,NA,0.603688052613883,"en",107,107,99,NA,1,91,17,"EO",NA,-0.0521473484646036,"EO","Ineligible","Not Hispanic","en","EO",2
"104",104,104,"N",800,0,0,NA,NA,NA,-0.408737586550851,"en",85,86,81,NA,1,102,17,"EO",NA,-1.55197251824921,"EO","Ineligible","Not Hispanic","en","EO",2
"105",105,105,"N",700,0,0,NA,NA,NA,1.08791170338605,"en",88,108,95,NA,1,92,17,"EO",NA,0.387767254069393,"EO","Ineligible","Not Hispanic","en","EO",2
"106",106,106,"N",700,0,0,NA,NA,NA,-0.0148574759476477,"es",109,99,99,NA,1,101,17,"EO",NA,-1.11378335940784,"EO","Ineligible","Not Hispanic","es","EO",2
"107",107,107,"N",700,0,0,NA,NA,NA,2.09682605305799,"en",99,100,86,NA,1,97,17,"EO",NA,1.17513636255048,"EO","Ineligible","Not Hispanic","en","EO",2
"108",108,108,"N",700,0,0,NA,NA,NA,-1.08129625315251,"en",125,121,105,NA,1,94,17,"EO",NA,-1.87005879894551,"EO","Ineligible","Not Hispanic","en","EO",2
"109",109,109,"N",700,0,0,NA,NA,NA,0.790070067308412,"en",82,98,76,NA,1,97,17,"EO",NA,-0.131619623199098,"EO","Ineligible","Not Hispanic","en","EO",2
"110",110,110,"N",700,0,0,NA,NA,NA,0.817525272411112,"en",93,106,86,NA,1,97,17,"EO",NA,-0.104164418096398,"EO","Ineligible","Not Hispanic","en","EO",2
"111",111,111,"N",700,0,0,NA,NA,NA,1.11666338465987,"en",94,106,92,NA,1,97,17,"EO",NA,0.194973694152359,"EO","Ineligible","Not Hispanic","en","EO",2
"112",112,112,"N",800,0,0,NA,NA,NA,2.42779501751536,"en",100,114,96,NA,1,100,17,"EO",NA,1.37317818229334,"EO","Ineligible","Not Hispanic","en","EO",2
"113",113,113,"N",800,0,0,NA,NA,NA,1.90638103994215,"en",126,113,93,NA,1,98,17,"EO",NA,0.940382301196469,"EO","Ineligible","Not Hispanic","en","EO",2
